,Size,Cathedral,University,3,4,5,6,7,8,Coordinates,Sword,Armor,Bowyer,Artificer,Clothmaker,Alum,Antimoni,Aqua Regia,Brimstone,Camomile,Eastern BBean,Gum,Manganes,Marsh Vapor,Mondragora,Naptha,Nikel,Orpiment,Pitchblende,Pure Gold,Solanaceae,White Cinnabar,Zincblende,Zinken,Saint 1,Saint 2,Saint 3,Saint 4
Aachen,5,C,,,,5,,,,A5,28,27,26,36,30,1,,1,1,,1,,,,,,1,,,1,,,,,Godfrey,Anthony,Erasmus,Denis
Augsburg,6,C,,,,,6,,,D7,27,29,24,29,29,,,,,,,,,,,,,,,,,,,,,,,
Bamberg,5,C,,,,5,,,,D6,29,27,25,25,25,,,,,,,,,,,,,,,,,,,,,,,
Basel,5,C,U,,,5,,,,A8,26,31,26,29,28,1,,,1,1,1,,,,1,,1,,,1,1,,1,,Michael,SabasG,Aidan,Heribert
Berlin,4,,,,4,,,,,E3,,,24,23,23,,,,,,,,,,,,,,,,,,,,,,,
Brandenburg,4,C,,,4,,,,,E4,29,25,24,25,26,,,,,,,,,,,,,,,,,,,,,,,
Braunschweig,5,C,,,,5,,,,C4,24,23,22,25,25,,,,,,,,,,,,,,,,,,,,,,,
Bremen,6,C,,,,,6,,,C3,25,27,29,27,27,,,,,,,,,,,,,,,,,,,,,,,
Breslau,5,C,,,,5,,,,G5,25,28,32,25,26,,,,,,,,,,,,,,,,,,,,,,,
Bromberg,5,,,,,5,,,,H3,,,,22,22,,,,,,,,,,,,,,,,,,,,,,,
Brunn,4,C,,,4,,,,,G7,24,22,25,24,25,,,,,,,,,,,,,,,,,,,,,,,
Burglitz,4,,,,4,,,,,E6,32,25,23,25,23,,,,,,,,,,,,,,,,,,,,,,,
Danzig,7,C,,,,,,7,,H1,26,25,25,29,26,,,,,,,,,,,,,,,,,,,,,,,
Deventer,4,,,,4,,,,,A3,,,,25,38,,,1,1,1,,,,,,1,,,,1,,,,,Erasmus,Maurice,Stanislaus,TheodoreT
Dortmund,4,,,,4,,,,,B4,,,22,24,22,,,,,,,,,,,,,,,,,,,,,,,
Dresden,6,C,,,,,6,,,E5,26,34,25,39,27,,,,,,,,,,,,,,,,,,,,,,,
Duisberg,5,,,,,5,,,,A4,29,26,24,25,24,,,,1,,,1,,,1,,,,,,1,,1,1,Hedwig,Wilfrid,Lutgardis,Heribert
Elburg,5,,,,,5,,,,A3,,,36,25,35,,,,1,,,,,,1,,,,,,1,,,,AnthonyP,Herve,CatherineS,Cosmas
Erfurt,5,C,U,,,5,,,,D5,,,24,29,25,,,,,,,,,,,,,,,,,,,,,,,
Flensburg,3,,,3,,,,,,C1,,,,21,23,,,,,,,,,,,,,,,,,,,,,,,
Frankfurt aM,5,C,,,,5,,,,B6,24,27,24,26,24,,,,,,,,,,,,,,,,,,,,,,,
Frankfurt aO,5,C,,,,5,,,,F4,27,27,28,27,27,,,,,,,,,,,,,,,,,,,,,,,
Freiberg,5,C,U,,,5,,,,E5,,,,33,23,,,,,,,,,,,,,,,,,,,,,,,
Freiberg iB,5,C,U,,,5,,,,B8,36,24,24,24,23,,,,,,,,,,,,,,,,,,,,,,,
Fulda,4,,,,4,,,,,C5,,,,24,24,,,,,,,,,,,,,,,,,,,,,,,
Fürstenberg,4,,,,4,,,,,E3,,,,23,23,,,,,,,,,,,,,,,,,,,,,,,
Görlitz,5,,,,,5,,,,F5,,25,,23,21,,,,,,,,,,,,,,,,,,,,,,,
Goslar,4,C,,,4,,,,,C4,,,,25,24,,,,,,,,,,,,,,,,,,,,,,,
Graz,5,C,,,,5,,,,G8,24,29,26,24,25,,,,,,,,,,,,,,,,,,,,,,,
Groningen,3,,,3,,,,,,A2,,,25,20,25,,,,,,,,,,,,,,,,,,,,,,,
Hall,4,,,,4,,,,,C7,,,24,23,21,,,,,,,,,,,,,,,,,,,,,,,
Hamburg,7,C,,,,,,7,,C2,27,27,31,28,31,,,,,,,,,,,,,,,,,,,,,,,
Hannover,5,,,,,5,,,,C3,27,24,24,25,25,,,,,,,,,,,,,,,,,,,,,,,
Heidelberg,5,,U,,,5,,,,B6,26,23,23,25,25,1,,1,1,,,,,,1,,,1,1,1,,,,,Adrian,Finnian,Sebastian,TheodoreT
Kassel,5,,,,,5,,,,C5,27,25,24,27,26,,,,,,,,,,,,,,,,,,,,,,,
Kempen,4,,,,4,,,,,A4,,,,25,25,,1,,,,,,,,1,,1,,,,,,1,1,Drogo,Cosmas,Vitus,Sebastian
Koblenz,4,,,,4,,,,,B5,29,25,25,26,27,1,,,1,,,,,,,1,1,,,,,,,,Alcuin,Apollinarius,Odo,Raphael
Köln,8,C,U,,,,,,8,A5,35,28,27,38,31,1,,1,1,1,,1,,,1,1,1,,1,1,1,1,1,1,,,,
Konstanz,4,C,,,4,,,,,B8,,,,24,27,,,,1,,,,,,,,,,1,,,,,,Pantaleon,Finbar,Wencelaus,Devota
Kufstein,4,,,,4,,,,,D8,31,,,32,22,,,,,,,,,,,,,,,,,,,,,,,
